config_index,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,GRADIENT_CLIP,mean_epoch,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_specificity,mean_roc_auc,mean_ap,mean_early_stop_ap,std_accuracy,std_precision,std_recall,std_f1,std_specificity,std_roc_auc,std_ap,std_early_stop_ap
45,128,9,0.3,64,0.001,1e-05,5.0,49.5,0.8962962962962964,0.5401403073393244,0.7855932549403888,0.6386658143120371,0.9107843632804986,0.9062808866192783,0.7513371737254665,0.7513371737254665,0.01728747759428576,0.05920044723951406,0.012409725688211876,0.03942825343059055,0.01987849257231266,0.01881480104586387,0.033367686091284855,0.033367686091284855
46,128,10,0.0,64,0.001,1e-05,5.0,55.0,0.9014814814814816,0.5535455054621455,0.8512065164135227,0.6690873320012911,0.9080657548710303,0.9229698578243629,0.7654928599929255,0.7654928599929255,0.021323385883836154,0.061224305576706266,0.02413817685862484,0.04555883031458397,0.02461866679107791,0.019002939389928027,0.04095273912291143,0.04095273912291143
47,128,10,0.1,64,0.001,1e-05,5.0,54.25,0.9001851851851852,0.5552400074414507,0.7552670259676629,0.6373657797553177,0.9191627317925195,0.8920116512902109,0.7224523051227372,0.7224523051227372,0.01294884592859484,0.04971344778555071,0.05768544454952446,0.02310913097470165,0.020575366795969913,0.015353410611463756,0.03243189668151716,0.03243189668151716
48,128,10,0.3,64,0.001,1e-05,5.0,56.25,0.9070370370370371,0.5816008146591751,0.7456720561816103,0.6510426885376295,0.928168538978772,0.8920248769227435,0.7274774994170434,0.7274774994170434,0.013530774082785468,0.05185343898791126,0.04832223020648759,0.02476994024463021,0.020285661977733422,0.02321927395200606,0.05300799257769529,0.05300799257769529
49,256,3,0.0,64,0.001,1e-05,5.0,27.75,0.8861111111111112,0.517585168242012,0.8144189939572106,0.6286265321325543,0.8955022387713926,0.910460058699261,0.7594909540417876,0.7594909540417876,0.033173140450835054,0.07937255054180614,0.04007297878082846,0.05570019552779632,0.041138798818523954,0.009588779778721036,0.010429987121285839,0.010429987121285839
50,256,3,0.1,64,0.001,1e-05,5.0,19.5,0.9074074074074074,0.5762228304963908,0.759993058958027,0.6550896329231599,0.9267014732786593,0.9015075490922619,0.7435756455804999,0.7435756455804999,0.0032003657769914995,0.014059502594803779,0.030356320362451575,0.009900924544475522,0.006174936942232638,0.008081282836670648,0.013645216712477055,0.013645216712477055
51,256,3,0.3,64,0.001,1e-05,5.0,26.25,0.8818518518518519,0.5021793997269671,0.7839906908378247,0.6087366278232988,0.8946633137747975,0.9020257164724634,0.7468438727106784,0.7468438727106784,0.025642186319620154,0.06157938071986433,0.047264999069161935,0.03776622761217373,0.03433870998849907,0.008918568958444726,0.01580915200096142,0.01580915200096142
52,256,4,0.0,64,0.001,1e-05,5.0,26.5,0.9031481481481481,0.5579514786923553,0.8303731830801895,0.665476656218429,0.9126693119130157,0.9215596263386971,0.774169503052881,0.774169503052881,0.010054719970739406,0.03854334309071614,0.04962353580376237,0.012702870163737452,0.017378133908896316,0.009541425303667245,0.027594636057697047,0.027594636057697047
53,256,4,0.1,64,0.001,1e-05,5.0,27.0,0.8987037037037037,0.5431459498172448,0.8127551853666504,0.6502844757261501,0.9099471933571182,0.9080431601235315,0.7545074142082488,0.7545074142082488,0.007659297466294357,0.026180228584091348,0.03434576066702882,0.01201986729458228,0.01241742973735432,0.010640957755479045,0.020997151044645647,0.020997151044645647
54,256,4,0.3,64,0.001,1e-05,5.0,22.0,0.8901851851851852,0.5185497676693569,0.7823983341499264,0.6231537602412859,0.9042953310840316,0.8989617237281906,0.7420334857074214,0.7420334857074214,0.010909697091414981,0.03198397251152292,0.015717191355585625,0.022356114811301467,0.013248200858039823,0.00925156313506568,0.01482640239176236,0.01482640239176236
