iter	Passed	Remaining
827	6487	1347
828	6503	1341
829	6513	1334
830	6520	1326
831	6527	1318
832	6534	1310
833	6539	1301
834	6546	1293
835	6551	1285
836	6556	1276
837	6562	1268
838	6569	1260
839	6576	1252
840	6581	1244
841	6589	1236
842	6596	1228
843	6603	1220
844	6609	1212
845	6614	1204
846	6627	1197
847	6635	1189
848	6647	1182
849	6660	1175
850	6669	1167
851	6683	1160
852	6691	1153
853	6698	1145
854	6705	1137
855	6711	1129
856	6717	1120
857	6724	1112
858	6730	1104
859	6738	1096
860	6744	1088
861	6751	1080
862	6757	1072
863	6769	1065
864	6779	1058
865	6785	1050
866	6791	1041
867	6796	1033
868	6802	1025
869	6808	1017
870	6816	1009
871	6822	1001
872	6828	993
873	6835	985
874	6842	977
875	6848	969
876	6861	962
877	6871	954
878	6880	947
879	6892	939
880	6900	932
881	6907	924
882	6913	916
883	6918	907
884	6926	900
885	6933	892
886	6940	884
887	6946	876
888	6952	868
889	6962	860
890	6970	852
891	6978	844
892	6989	837
893	6996	829
894	7008	822
895	7017	814
896	7026	806
897	7032	798
898	7038	790
899	7044	782
900	7053	775
901	7062	767
902	7071	759
903	7078	751
904	7084	743
905	7092	735
906	7098	727
907	7105	719
908	7112	712
909	7120	704
910	7126	696
911	7133	688
912	7140	680
913	7147	672
914	7154	664
915	7162	656
916	7169	648
917	7176	641
918	7183	633
919	7191	625
920	7198	617
921	7207	609
922	7214	601
923	7219	593
924	7225	585
925	7238	578
926	7246	570
927	7253	562
928	7259	554
929	7265	546
930	7270	538
931	7278	531
932	7285	523
933	7293	515
934	7300	507
935	7305	499
936	7311	491
937	7323	484
938	7333	476
939	7341	468
940	7354	461
941	7364	453
942	7372	445
943	7384	438
944	7394	430
945	7402	422
946	7410	414
947	7417	406
948	7423	398
949	7431	391
950	7438	383
951	7444	375
952	7452	367
953	7463	359
954	7474	352
955	7483	344
956	7490	336
957	7496	328
958	7503	320
959	7514	313
960	7520	305
961	7528	297
962	7534	289
963	7541	281
964	7548	273
965	7556	265
966	7563	258
967	7569	250
968	7576	242
969	7583	234
970	7588	226
971	7595	218
972	7611	211
973	7617	203
974	7626	195
975	7632	187
976	7638	179
977	7644	171
978	7650	164
979	7656	156
980	7669	148
981	7684	140
982	7694	133
983	7703	125
984	7709	117
985	7716	109
986	7724	101
987	7732	93
988	7738	86
989	7744	78
990	7753	70
991	7759	62
992	7763	54
993	7770	46
994	7777	39
995	7784	31
996	7790	23
997	7795	15
998	7803	7
999	7811	0
