iter	MAE	RMSE
707	36343.38509	177005.62
708	36329.45594	176867.9564
709	36320.03799	176822.0232
710	36307.6617	176749.628
711	36291.93899	176573.7187
712	36282.57436	176535.7289
713	36255.28789	176335.1951
714	36252.63734	176267.9253
715	36227.6895	175955.1904
716	36219.50157	175798.6904
717	36215.62125	175734.4149
718	36203.41075	175575.9713
719	36181.20695	175092.931
720	36161.20116	174985.0877
721	36149.35918	174820.2595
722	36139.27761	174705.785
723	36127.14399	174611.9874
724	36125.18851	174523.1663
725	36123.77143	174202.6139
726	36113.35344	174102.9535
727	36110.8562	174043.9987
728	36106.55447	173998.3612
729	36094.51999	173920.8206
730	36077.82243	173865.8719
731	36065.76356	173591.7502
732	36058.37043	173359.7258
733	36042.82443	173112.178
734	36024.46919	172661.6258
735	36008.60702	172573.8494
736	35980.21283	172475.9411
737	35973.8229	172223.9592
738	35959.19398	172119.8705
739	35943.57513	171682.5598
740	35920.78553	171548.7503
741	35897.79833	171115.4224
742	35887.28587	170969.6361
743	35880.27389	170610.8088
744	35877.34222	170558.4816
745	35862.80354	170390.3066
746	35830.3187	170128.5689
747	35820.41293	170042.474
748	35820.91069	169994.7001
749	35814.75182	169931.5366
750	35802.83279	169813.1508
751	35787.46227	169637.3057
752	35773.10092	169547.6313
753	35769.10065	169508.2898
754	35770.22418	169453.6557
755	35759.09402	169398.4541
756	35734.74415	169250.6094
757	35729.11267	169222.8695
758	35719.92562	169152.7688
759	35713.59347	169113.8217
760	35701.28124	169012.6587
761	35698.94951	168954.1399
762	35695.11134	168848.6052
763	35682.51833	168725.1853
764	35657.42945	168535.9097
765	35652.18553	168445.7142
766	35648.69367	168392.4516
767	35645.66953	168363.457
768	35626.61687	168287.7113
769	35612.85043	168193.8371
770	35602.60893	168075.027
771	35568.36923	167938.7565
772	35560.68427	167807.2723
773	35554.91555	167700.6112
774	35549.97865	167642.7941
775	35544.42329	167595.6446
776	35540.01736	167530.9699
777	35534.61486	167483.0414
778	35526.18425	167422.6912
779	35520.33454	167304.6865
780	35520.44914	167289.7699
781	35511.87275	167208.6165
782	35496.37497	167051.9332
783	35492.40465	166970.5546
784	35482.88147	166842.5086
785	35431.16552	166708.1157
786	35420.02465	166658.6362
787	35409.89691	166434.8484
788	35380.27029	166225.1419
789	35364.76494	166123.6432
790	35358.46824	165898.3071
791	35365.53464	165839.5905
792	35355.24549	165748.4487
793	35320.02197	165620.4085
794	35318.6092	165569.1886
795	35311.86725	165505.4894
796	35307.21041	165456.8968
797	35302.62073	165313.7743
798	35289.05569	165221.7691
799	35280.56383	165137.2823
800	35273.69257	164852.9986
801	35239.87944	164741.0915
802	35222.79717	164656.5024
803	35213.55921	164499.9791
804	35202.47906	164279.4448
805	35185.79218	164171.345
806	35179.22827	164104.7795
807	35174.63502	164056.2495
808	35175.051	163974.316
809	35167.39192	163875.9928
810	35153.84874	163761.5813
811	35150.47151	163701.815
812	35137.63918	163618.1929
813	35124.87128	163238.2264
814	35113.06085	163094.9887
815	35106.14188	162974.586
816	35098.78001	162679.7253
817	35083.89749	162581.1459
818	35044.75363	162468.0746
819	35016.03086	162325.2094
820	35005.5364	162254.1692
821	34994.08963	162176.8257
