iter	Passed	Remaining
883	106705	14002
884	106858	13885
885	106977	13764
886	107115	13646
887	107232	13524
888	107354	13404
889	107468	13282
890	107583	13161
891	107692	13039
892	107813	12918
893	107933	12797
894	108049	12676
895	108165	12554
896	108287	12434
897	108407	12313
898	108536	12193
899	108651	12072
900	108771	11951
901	108882	11829
902	109010	11709
903	109119	11587
904	109241	11467
905	109346	11344
906	109461	11223
907	109588	11103
908	109700	10982
909	109814	10860
910	109935	10740
911	110055	10619
912	110166	10497
913	110284	10376
914	110409	10256
915	110571	10139
916	110702	10019
917	110823	9899
918	110957	9779
919	111072	9658
920	111186	9537
921	111303	9416
922	111416	9294
923	111551	9175
924	111690	9055
925	111818	8935
926	111968	8817
927	112103	8697
928	112249	8578
929	112390	8459
930	112518	8339
931	112649	8219
932	112782	8099
933	112909	7978
934	113029	7857
935	113170	7738
936	113307	7618
937	113449	7498
938	113572	7377
939	113704	7257
940	113827	7136
941	113949	7016
942	114060	6894
943	114173	6773
944	114288	6651
945	114398	6530
946	114507	6408
947	114627	6287
948	114743	6166
949	114840	6044
950	114965	5923
951	115076	5802
952	115174	5680
953	115286	5558
954	115405	5437
955	115516	5316
956	115639	5195
957	115757	5074
958	115867	4953
959	115980	4832
960	116099	4711
961	116216	4590
962	116318	4469
963	116423	4347
964	116539	4226
965	116647	4105
966	116763	3984
967	116882	3863
968	116993	3742
969	117112	3622
970	117222	3500
971	117340	3380
972	117456	3259
973	117566	3138
974	117690	3017
975	117796	2896
976	117910	2775
977	118077	2656
978	118213	2535
979	118330	2414
980	118444	2294
981	118551	2173
982	118671	2052
983	118798	1931
984	118904	1810
985	119017	1689
986	119127	1569
987	119236	1448
988	119361	1327
989	119470	1206
990	119588	1086
991	119712	965
992	119845	844
993	119952	724
994	120067	603
995	120189	482
996	120301	361
997	120407	241
998	120519	120
999	120634	0
